price,sqm,rooms,age,balcony,lift,parking
1195000,95,3.5,27,false,true,true
745000,153,5.5,37,true,true,false
1060000,162,5.5,27,true,true,false
1100000,165,5.5,18,true,true,true
1060000,175,6.5,1,true,true,true
590000,68,2.5,26,false,true,true
415000,48,1.5,0,true,true,true
400000,60,2.5,15,true,true,false
630000,90,4.5,50,true,true,false
735000,85,4.0,47,false,false,false
650000,100,3.5,18,true,true,false
2650000,135,4.5,51,true,true,true
859000,143,4.5,1,true,true,true
1179000,164,4.5,1,false,false,false
519000,98,3.5,18,false,false,false
1179000,164,4.5,1,false,false,false
519000,98,3.5,18,false,false,false
360000,75,2.5,1,false,false,false
620000,110,3.5,1,false,false,false
630000,110,3.5,1,false,false,false
490000,92,2.5,1,false,false,false
540000,101,3.5,1,false,false,false
560000,101,3.5,1,false,false,false
580000,101,3.5,1,false,false,false
360000,75,2.5,1,false,false,false
540000,101,3.5,1,false,false,false
495000,120,3.5,70,false,false,true
495000,120,3.5,70,false,false,true
795000,170,5.5,20,true,true,true
860000,90,3.5,0,true,true,false
425000,84,3.5,1,true,true,true
515000,127,4.5,6,true,true,true
460000,129,3.5,2,true,true,false
145300,32,1.0,0,true,true,true
1740000,149,4.5,-1,false,true,false
1100000,112,5.0,49,true,true,false
1250000,100,3.5,30,true,true,false
1370000,104,3.5,-1,true,true,true
995000,220,5.5,9,true,true,false
440000,79,4.0,54,true,false,false
685000,105,4.0,55,true,false,false
995000,135,4.5,8,true,true,true
995000,135,4.5,8,true,true,true
250000,32,1.0,44,true,true,false
358000,62,3.5,50,true,false,true
1280000,139,4.5,17,true,true,false
1290000,184,6.5,9,true,true,false
580000,67,2.5,0,true,true,true
1290000,190,5.5,2,true,true,true
795000,83,3.5,42,true,false,false
520000,83,3.5,2,true,false,true
390000,63,2.5,0,true,true,true
890000,105,4.5,0,true,true,true
435000,72,2.5,22,true,true,false
1190000,147,4.5,7,true,true,false
185000,45,2.5,38,true,false,true
745000,246,5.5,98,true,false,true
235000,50,2.5,37,true,false,true
600000,68,2.5,1,true,true,false
790000,146,4.5,18,true,true,true
460000,80,3.5,46,true,false,false
525000,123,4.5,1,false,true,true
595000,98,3.5,2,true,true,true
660000,143,4.5,14,false,true,false
550000,118,4.5,27,false,false,false
845000,105,5.0,105,false,false,false
595000,104,4.5,27,true,true,false
595000,104,4.5,27,true,true,false
720000,174,4.5,26,false,true,false
190000,96,3.5,98,false,false,false
1750000,230,5.5,4,false,true,true
790000,115,3.5,47,true,true,false
1225000,170,6.0,28,true,true,true
680000,126,5.5,7,true,true,false
1179000,164,4.5,1,false,false,false
490000,92,2.5,1,false,false,false
580000,101,3.5,1,false,false,false
370000,100,3.5,9,false,true,false
